,PID,Smiles,ecfp4
0,10017019,C1=CC2=C(C=C1Br)C(=CN2)C3=NC(=NC=C3)N,0000000000000000000000000000000000000000000000000000000000000100000000000000000000000000001000000000000000000000000000010000000000000100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100001000000000000000000100010000000000000000000001000000000000000000000000000000100000000000000000010000100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001010000000000000000000000000000000000000100000000000000000000100000000000000000010000000000000000000000001000000000010000001000001000000000000000000010000000000000000000000000000000001000101000000000000000000000000000000000000000000010000000000000000000010000000000000000000000000001000000000000000
1,10020713,C1=CC2=C(N=C1)N(C=C2C3=C(C(=O)NC3=O)C4=NC=CN=C4)CCCO,0000000000000000000100000000000000001000000000010000000000000000100000000000000010000000001000000000010000100000000000000100000000000000000000000000000000000000000000001000010000000000000000000000100000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000000000000000001000000000000000000100010000000000000000000001000000100000000000000000000000000000000000000000010010000000000000000100000000000000010000000010000000000000000000000000000000000000100000000001000000000000000000000000001000000000000100000001000010001000000000000000000000000000000000000000000000000000001001000000000000010000000000010000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000100010000001001000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000100000000000000000010000000000000000000000000000000000000000000
2,10024433,CC1=C(SC(=N1)C)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCN(CC4)C(=O)C,0000000000000000000000000000000001000000000000000000000000000100000000000000000000000000001010000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000010010000000000000000000000000000000000000000000000000000010000000000000000000001001000000000000000001000000010000000000000000000010000000000000000100000000001010000000000000000000000000100000010000000010000000000000000000000000000000000000000000000000000000001000100100000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000000001000000000001000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100000001000001000001000001000000000000000001000000000011000001000000000000000000000000000000000000000000010000000000000000000000000000000010000000010000000000000000000000000010000000000000000010000100000000000000000001000000000001000000
3,10027278,C1=CC=C2C(=C1)C=CC3=C2C=CC(=C3)C4=CC(=NN4C5=CC=C(C=C5)NC(=O)CN)C(F)(F)F,0000000000000000000000000001000000000000010000000000010000000001100000000000000010000000000000000000001000000000001000000000000010000000100000000001000000000000000000000000000100000100000000010000000000011000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000110000000000000100000000000001000000000000000000000010000000000010000001001000000000000000000000000000000010000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000010000000000000000000000000000000000000000100000000000000001000000000000000000000000001000000000000000000000000000000000000001000000001000001010000000000000000001001000010000001000001000000000000000000000000010000000000000000010010000100100000000000000000000000000010010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
4,10029385,C1CCN(CC1)C(=O)N2CCN3C=C(C4=CC(=CC(=C43)C2)F)C5=C(C(=O)NC5=O)C6=CN=C7N6C=CC=C7,0011100000000000000000000000000000001000000100000000000000000000100000000000011000010000001000000000000000000000000000000000001000000001000000000000000000000000000000000000000100000000000000000100000000000000000010000000000000100001000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000001000000000000000000100010000000000001000000001000001000000000000000000000000000000010000000000010000000000000000010000000001000000010000000000000000000000000000000000000000000000100000000000000100000000000000000001000000000000000000100001000000000000000000000000000001000000000000000000000000000000001000000000000100010000000000010000010000000000000000000000000000001000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000001000000000000001100100000000001000000000000000000000000010000000000000000010000000000100000000000100000100010000000010000000001000010000110000000000000000010000000000100000000000000000000000000001100000001
5,10050156,C1CC(CCC1NC(=O)C2=CC3=C(C=C2)C4=C(C3)C(=C5C=CC(=C6C=CC(=O)C=C6)C=C5)NN4)O,0000000001000000000100100000000000000001000000000000000000000000000000001000000000000000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000100000011000000000001000000010000000000000000000000000000000000000000000000000000010000000100000100000000000010000000000000000000000000000000000000100010000100000000000000000000000001000000001000000000000000000000000000000000000100000000000000000000000000000000000000000000000000001000000000000000000000000100000000000000100000000000001000000100000000000000000000000000000000000000000010000000000000000000100000000000000000000100000000000000000010000000000000000101000100000010000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000100011000000000000000000000000000000000000010001000100000000000000000000010000000000000000010001000000000000000000000000000010000000000000000000000100000010000000000100010000000000000000000000000000000000000000000000010000
6,10055074,CCN(CC)CCNC(=O)C1=CC2=C(C=C1)N=C(C(=N2)C3=CC=CC=C3)C4=CC=C(C=C4)CN5CCC(CC5)N6C7=CC=CC=C7NC6=O,0000000010000000000000000000000001000000000001000000000000000000100000000100000010000000001000000000000000000000000000010000000010000000100000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000001000000100000010100000001000100000000000000000000000000001000000100000000100010000000010000000000000000001000100000000010000100000000000000001000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000001000000100000001000000000000000000000000000000000000000100000000000000000000000000000000000010000000000000000000000100000000000000000000000000000000010000000000000000001010000000010000000010000000100000100000000000000000000000000000000100000000000000100001000100000100001000001000000000011000000010000000000000000100000000000000000000001000000000000000000000001000000000000000101000000000000000000000000010000010010100000010010000000000000000000000000000011000010010000000000000000000001000100000000000000001000000001000000000000000000000000000000010010
7,10062694,CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)C(F)(F)F)N3CC4=CN=C(N=C4N(C3=O)C)N,0000000000000001000000000000000001000000000000000000000000000000100000000000000000001000000010000000000001000000001000000100000010100000000000000001000000000000000000000000000000000000100000010000000000000000000010000000000000000000000010000000000000000000000000000000000100000000000000000000000000000000000000000010000100000000000000000000000010000000000010000100000100000000011000000000000001000000000000000100000000000000000011000100000000000000000000000000000000000000000000000000001000000000001100000000000100000000000000100000000000000000000000000000000000000000000010000000000000000000000000010000000000000000000000000000000000000000000000000010000000000000000100000100001000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000001000000000000000000001000000000000001010000000000000000000001000000000001000001001000000100000000000000010000000000000000010000000000100000000000000000100010000000010000000000000000001000000100000000000000100000000001000001000000000000001000000000000000
8,10074640,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5,0000000000000010000100000000000101000000000000000000000000000000100000000010000010000000000000000000000000000000000001000100000010000001100000000000000000000000000000000000000000000000100000010000000010000001000010000000000000000000000000001010000000000000010000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000100000100000000001000000100000000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000001000010000000000000000000100000000000000000000000000000101000000001000000000100000000000000001000000000000000000000000000000000000000000000000000000000000010000000010000000110000000100000101000000000000000000000010001000000000000000000000001000100000100001000001000000000000000000010001000000000000100000001000000000000001000000000000000000000001000000000011000001000000000000000000000000010000000000000000010000000000000000000000000000000010000010010000000000000000001000000000000000000000000010000000000000000000000000000000000000000000
9,10077147,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCCNC(=O)C4=CC=CS4)I,0000100010000011000000000000000000000000000000000000000000000000100000000000000110000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000110000010000000000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000001000000000000011000000000001000001001000010000000010000000000000000000000100010000000010000000000000001000000000001010000000000000000000000000001000010000000000000000000100000000000000000000000000000001100000000000001000100000000000000000001000000000000000000000000010000000000000000000000000000000000000000010000000000100000100000001100000000000000100000000000100001000000000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000001000000000000000001001000000000000000000000010000000000010000010000000000000100000001000000000010000000010000000000011000000000000000000000000010000000000100000000000000000000000000000000001000
10,10090485,CC1=CC=CC(=N1)C2=NN3CCCC3=C2C4=C5C=C(C=CC5=NC=C4)C(=O)N,0000100000000001000000000000010001000000000000000000000000000000100110000100000000000000000000000000000000000000001000000000000000000000000010000001000000000000000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000001000000000000010000000001000100000000000000100110000100000000000000001000000000000000100010000000000000000000100000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000010000000010000000000000000000010000000000000000000000100000000000000000000000010000100010000001000000001001100000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000010001000000000010000001000000000000000000000000010000001000000000010000000000000000000000000000000011000010010000000000000000000000000100000000000000000010000000000000000000000000000000000001000000
