siRNA,nbowVecs_1,nbowVecs_2,nbowVecs_3,nbowVecs_4,nbowVecs_5
AAK1,0.52912019826518,0.193308550185874,0,0.0148698884758364,0.26270136307311
AATK,0.45,0.152173913043478,0,0.0673913043478261,0.330434782608696
ABL1,0.484240687679083,0.0386819484240688,0,0.0300859598853868,0.446991404011461
ABL2,0.605339105339105,0.0786435786435786,0,0.0202020202020202,0.295815295815296
ACVR1,0.280515542077331,0.625473843821077,0,0.0159211523881729,0.0780894617134193
ACVR1B,0.56794682422452,0.309453471196455,0,0.0228951255539143,0.0997045790251108
ACVR1C,0.486286919831224,0.0590717299578059,0,0.0516877637130802,0.40295358649789
ACVR2,0.643968871595331,0.200389105058366,0,0.0175097276264591,0.138132295719844
ACVR2B,0.687853107344633,0.0331920903954802,0,0.0120056497175141,0.266949152542373
ACVRL1,0.399201596806387,0.465069860279441,0.093812375249501,0.0419161676646707,0
ADCK1,0.691720493247211,0.220786846741045,0.0598943041691133,0.0275983558426307,0
ADCK2,0.876943881000676,0.0311020960108181,0.0662609871534821,0.0256930358350237,0
ADCK4,0.632163742690058,0.166666666666667,0,0.0309941520467836,0.170175438596491
ADCK5,0.515727871250914,0.164594001463058,0.297732260424287,0.0204828090709583,0.00146305779078274
ADK,0.661674008810573,0.0986784140969163,0,0.0246696035242291,0.214977973568282
ADPGK,0.653605015673981,0.21551724137931,0.0744514106583072,0.0564263322884013,0
ADRBK1,0.50524246395806,0.363695937090433,0,0.0445609436435125,0.0865006553079948
ADRBK2,0.21058434399118,0.417861080485116,0,0.0143329658213892,0.357221609702315
AK1,0.390350877192982,0.0109649122807018,0,0.0131578947368421,0.585526315789474
AK3,0.585446527012128,0.21058434399118,0,0.0308710033076075,0.173098125689085
AK3L1,0.417562724014337,0.0896057347670251,0,0.003584229390681,0.489247311827957
AK5,0.428571428571429,0.0272108843537415,0,0.0306122448979592,0.513605442176871
AK7,0.620942408376963,0.179057591623037,0,0.0136125654450262,0.186387434554974
AKT1,0.586785009861933,0.106508875739645,0,0.00690335305719921,0.299802761341223
AKT2,0.648447204968944,0.224844720496894,0,0.00993788819875776,0.116770186335404
AKT3,0.598393574297189,0.00200803212851406,0.383534136546185,0.0160642570281124,0
ALDH18A1,0.332547169811321,0.55188679245283,0.0854952830188679,0.0300707547169811,0
ALK,0.406086956521739,0.0391304347826087,0,0.0208695652173913,0.533913043478261
ALPK1,0.625301204819277,0.292771084337349,0,0.0216867469879518,0.0602409638554217
ALPK2,0.443741209563994,0.333333333333333,0,0.060478199718706,0.162447257383966
ALPK3,0.432723358449946,0.272335844994618,0,0.0172228202368138,0.277717976318622
ALS2CR2,0.614896988906498,0.0491283676703645,0,0.0142630744849445,0.321711568938193
ALS2CR7,0.794941282746161,0.149051490514905,0.038843721770551,0.017163504968383,0
AMHR2,0.491150442477876,0.100884955752212,0,0.0699115044247788,0.338053097345133
ANKK1,0.53742802303263,0.366602687140115,0,0.00959692898272553,0.0863723608445297
APEG1,0.631077216396568,0.0962821734985701,0,0.0428979980934223,0.229742612011439
ARAF,0.795036028823058,0.125700560448359,0.0536429143314652,0.0256204963971177,0
ARK5,0.605738575982997,0.0701381509032944,0,0.026567481402763,0.297555791710946
ATM,0.725352112676056,0.0816901408450704,0,0.0253521126760563,0.167605633802817
ATR,0.384219554030875,0.174957118353345,0,0.0205831903945112,0.420240137221269
AURKB,0.569377990430622,0.0191387559808612,0.368421052631579,0.0430622009569378,0
AURKC,0.602968460111317,0.0853432282003711,0,0.0148423005565863,0.296846011131725
AXL,0.599562363238512,0.266958424507659,0.099562363238512,0.0339168490153173,0
BAIAP1,0.456116102280581,0.4713199723566,0.0608154803040774,0.0117484450587422,0
BCKDK,0.534199726402189,0.0779753761969904,0,0.00957592339261286,0.378248974008208
BCR,0.421621621621622,0.140540540540541,0.398918918918919,0.0389189189189189,0
BLK,0.657894736842105,0.21395881006865,0,0.0297482837528604,0.0983981693363844
BMP2K,0.578512396694215,0.252525252525253,0.132231404958678,0.0367309458218549,0
BMPR1A,0.664931685100846,0.0657124268054652,0,0.0214703968770332,0.247885491216656
BMPR1B,0.383018867924528,0.529559748427673,0.0566037735849057,0.0308176100628931,0
BMPR2,0.694444444444444,0.108585858585859,0,0.0189393939393939,0.178030303030303
BMX,0.550656660412758,0.334427767354597,0.0581613508442777,0.0567542213883677,0
BRAF,0.629327902240326,0.135437881873727,0,0.0152749490835031,0.219959266802444
BRD2,0.64321608040201,0.126633165829146,0,0.0592964824120603,0.170854271356784
BRD3,0.669478527607362,0.253067484662577,0.0414110429447853,0.0360429447852761,0
BRD4,0.458866544789762,0.336380255941499,0,0.0402193784277879,0.164533820840951
BRDT,0.612530915086562,0.232481450948063,0.112943116240725,0.0420445177246496,0
BRSK1,0.584234930448223,0.228748068006182,0,0.0154559505409583,0.171561051004637
BRSK2,0.636428571428571,0.045,0,0.0314285714285714,0.287142857142857
BTK,0.592964824120603,0.167839195979899,0,0.0311557788944724,0.208040201005025
BUB1,0.611948632049135,0.271356783919598,0.0692350642099386,0.0474595198213289,0
BUB1B,0.458401305057096,0.0619902120717781,0,0.0293637846655791,0.450244698205546
C9orf96,0.465909090909091,0.146694214876033,0.370867768595041,0.0165289256198347,0
CABC1,0.663770053475936,0.13168449197861,0,0.0227272727272727,0.181818181818182
CALM1,0.525330396475771,0.341960352422908,0.0870044052863436,0.045704845814978,0
CALM2,0.497716894977169,0.438356164383562,0.0482713633398565,0.0156555772994129,0
CALM3,0.594221930400525,0.212081418253447,0.0938936309914642,0.0998030203545634,0
CAMK1,0.284955752212389,0.564601769911504,0,0.00707964601769911,0.143362831858407
CAMK1D,0.159351789331533,0.773126266036462,0.0634706279540851,0.00405131667792032,0
CAMK1G,0.522906793048973,0.326224328593997,0.124012638230648,0.0268562401263823,0
CAMK2A,0.647058823529412,0.235294117647059,0,0.0147058823529412,0.102941176470588
CAMK2B,0.570873786407767,0.222330097087379,0,0.0252427184466019,0.181553398058252
CAMK2D,0.63102119460501,0.201348747591522,0,0.0250481695568401,0.142581888246628
CAMK2G,0.424007744433688,0.14811229428848,0.396902226524685,0.0309777347531462,0
CAMK4,0.35474006116208,0.357798165137615,0,0.00305810397553517,0.284403669724771
CAMKK1,0.63452566096423,0.0684292379471229,0,0.00933125972006221,0.287713841368585
CAMKK2,0.679430097951915,0.0694568121104185,0,0.0338379341050757,0.217275155832591
CAMKV,0.422413793103448,0.0883620689655172,0.460129310344828,0.0290948275862069,0
CASK,0.425561797752809,0.047752808988764,0,0.0210674157303371,0.50561797752809
CCL2,0.401408450704225,0.492175273865415,0.0719874804381847,0.0344287949921753,0
CCRK,0.594570135746606,0.209954751131222,0.157466063348416,0.0380090497737557,0
CDC2,0.508819538670285,0.0651289009497965,0,0.0325644504748982,0.39348710990502
CDC2L1,0.146435452793834,0.0289017341040462,0,0.0173410404624277,0.807321772639692
CDC2L5,0.583238958097395,0.0804077010192525,0,0.0271800679501699,0.309173272933182
CDC2L6,0.453318335208099,0.061867266591676,0,0.0438695163104612,0.440944881889764
CDC42BPA,0.619556285949055,0.185702547247329,0,0.0205423171733772,0.174198849630238
CDC42BPB,0.600858369098712,0.163090128755365,0.216022889842632,0.0200286123032904,0
CDC42BPG,0.50801282051282,0.325320512820513,0,0.0352564102564103,0.131410256410256
CDC7,0.5390625,0.345703125,0,0.0234375,0.091796875
CDK10,0.407766990291262,0.0307443365695793,0,0.0161812297734628,0.545307443365696
CDK2,0.562366357804704,0.315751960085531,0.0477548111190306,0.0741268709907341,0
CDK3,0.5,0.140419947506562,0,0.0459317585301837,0.313648293963255
CDK4,0.521963824289406,0.0930232558139535,0,0.0142118863049096,0.370801033591731
CDK5,0.26318407960199,0.479601990049751,0.0825870646766169,0.174626865671642,0
CDK6,0.326490713587488,0.0654936461388074,0.60019550342131,0.00782013685239492,0
CDK7,0.637058261700095,0.146131805157593,0,0.0324737344794651,0.184336198662846
CDK8,0.625379939209726,0.217325227963526,0,0.0296352583586626,0.127659574468085
CDK9,0.6875,0.144166666666667,0,0.03,0.138333333333333
CDKL1,0.344336084021005,0.13503375843961,0.475618904726182,0.0450112528132033,0
CDKL2,0.620556414219474,0.190108191653787,0,0.0200927357032458,0.169242658423493
CDKL3,0.349387755102041,0.22530612244898,0.404897959183673,0.0204081632653061,0
CDKL4,0.612139156180607,0.22279792746114,0,0.0266469282013323,0.138415988156921
CDKL5,0.570552147239264,0.153374233128834,0,0.056441717791411,0.219631901840491
CERK,0.408805031446541,0.382075471698113,0.121069182389937,0.0880503144654088,0
CHEK1,0.505502567865004,0.078503301540719,0,0.0374174614820249,0.378576669112252
CHEK2,0.472144846796657,0.448467966573816,0,0.00696378830083565,0.0724233983286908
CHKA,0.60539979231568,0.187954309449637,0,0.0404984423676012,0.166147455867082
CHUK,0.379432624113475,0.294326241134752,0,0.00780141843971631,0.318439716312057
CIT,0.610476190476191,0.125714285714286,0,0.0180952380952381,0.245714285714286
CKM,0.627406568516421,0.293318233295583,0,0.0271800679501699,0.0520951302378256
CKMT1,0.529722589167767,0.0211360634081902,0,0.0132100396301189,0.435931307793923
CKMT2,0.667862266857963,0.134863701578192,0,0.0236728837876614,0.173601147776184
CLK1,0.317460317460317,0.0229276895943563,0,0.0229276895943563,0.63668430335097
CLK2,0.641357027463651,0.117932148626817,0,0.0710823909531502,0.169628432956381
CLK3,0.743801652892562,0.105601469237833,0,0.0101010101010101,0.140495867768595
CLK4,0.356499356499356,0.0244530244530245,0,0.0193050193050193,0.5997425997426
CMPK,0.425474254742547,0.341463414634146,0,0.132791327913279,0.100271002710027
COASY,0.572368421052632,0.280701754385965,0.0888157894736842,0.0581140350877193,0
COL4A3BP,0.460764587525151,0.0462776659959759,0,0.0201207243460765,0.472837022132797
CRK7,0.584955752212389,0.266371681415929,0.119469026548673,0.0292035398230088,0
CRKL,0.511299435028249,0.076271186440678,0,0.0282485875706215,0.384180790960452
CSF1R,0.657225433526012,0.107514450867052,0,0.0225433526011561,0.21271676300578
CSK,0.654488517745303,0.15553235908142,0,0.022964509394572,0.167014613778706
CSNK1A1,0.568333333333333,0.188333333333333,0,0.0366666666666667,0.206666666666667
CSNK1A1L,0.682119205298013,0.13658940397351,0.150662251655629,0.0306291390728477,0
CSNK1D,0.517467248908297,0.0764192139737991,0,0.0109170305676856,0.395196506550218
CSNK1E,0.371052631578947,0.389473684210526,0,0.118421052631579,0.121052631578947
CSNK1G1,0.697796432318993,0.093389296956978,0.182581322140609,0.0262329485834208,0
CSNK1G2,0.323675496688742,0.262417218543046,0.394039735099338,0.0198675496688742,0
CSNK1G3,0.523957685127567,0.390790292470442,0.0584940883634101,0.0267579340385812,0
CSNK2A1,0.671232876712329,0.138231631382316,0,0.0485678704856787,0.141967621419676
CSNK2A2,0.684722222222222,0.179861111111111,0,0.0263888888888889,0.109027777777778
DAPK1,0.566700100300903,0.264794383149448,0,0.0310932798395186,0.13741223671013
DAPK2,0.489675516224189,0.15929203539823,0,0.0825958702064897,0.268436578171091
DAPK3,0.657494569152788,0.137581462708182,0,0.0289645184648805,0.175959449674149
DCAMKL1,0.694514767932489,0.244725738396624,0.0447257383966245,0.0160337552742616,0
DCAMKL2,0.330827067669173,0.056390977443609,0,0.0225563909774436,0.590225563909774
DCAMKL3,0.677884615384615,0.189903846153846,0,0.0120192307692308,0.120192307692308
DDR1,0.672560576293386,0.0779305828421742,0,0.0242305173542895,0.225278323510151
DDR2,0.61287988422576,0.227930535455861,0.123733719247467,0.0354558610709117,0
DGKA,0.256,0.0346666666666667,0,0.0133333333333333,0.696
DGKB,0.6815834767642,0.0998278829604131,0,0.0120481927710843,0.206540447504303
DGKD,0.646520146520147,0.204212454212454,0.0723443223443224,0.0769230769230769,0
DGKE,0.653414001728608,0.284356093344857,0.0345721694036301,0.0276577355229041,0
DGKG,0.603948896631823,0.0894308943089431,0,0.00929152148664344,0.29732868757259
DGKH,0.343023255813953,0.0188953488372093,0,0.00872093023255814,0.629360465116279
DGKI,0.705362404242781,0.226870948733058,0.0530347672362994,0.0147318797878609,0
DGKQ,0.30125,0.02,0,0.01125,0.6675
DGKZ,0.723826714801444,0.175090252707581,0.0565583634175692,0.0445246690734055,0
DGUOK,0.388185654008439,0.0358649789029536,0,0.0274261603375527,0.548523206751055
DLG1,0.605371900826446,0.276859504132231,0,0.0185950413223141,0.0991735537190083
DLG2,0.333333333333333,0.589583333333333,0,0.03125,0.0458333333333333
DLG3,0.444981862152358,0.0471584038694075,0,0.0120918984280532,0.495767835550181
DLG4,0.626829268292683,0.1,0,0.0329268292682927,0.240243902439024
DMPK,0.456669912366115,0.106134371957157,0.394352482960078,0.0428432327166504,0
DTYMK,0.609665427509294,0.0594795539033457,0,0.0185873605947955,0.312267657992565
DYRK1A,0.625475285171103,0.167300380228137,0,0.0209125475285171,0.186311787072243
DYRK1B,0.485094850948509,0.021680216802168,0,0.002710027100271,0.490514905149051
DYRK2,0.649258997882851,0.165137614678899,0,0.0204657727593507,0.165137614678899
DYRK3,0.591107871720117,0.246355685131195,0.123906705539359,0.0386297376093294,0
DYRK4,0.568568568568569,0.129129129129129,0,0.01001001001001,0.292292292292292
EEF2K,0.761653474054529,0.112576956904134,0,0.00351802990325418,0.122251539138083
EGFR,0.617519514310494,0.194275802254987,0.163052905464007,0.0251517779705117,0
EIF2AK1,0.624242424242424,0.128282828282828,0,0.0191919191919192,0.228282828282828
EIF2AK2,0.613914373088685,0.217889908256881,0,0.0259938837920489,0.142201834862385
EIF2AK3,0.556284153005465,0.0174863387978142,0,0.0426229508196721,0.383606557377049
EIF2AK4,0.540625,0.290625,0,0.0171875,0.1515625
EPHA1,0.392663043478261,0.0869565217391304,0,0.0611413043478261,0.459239130434783
EPHA10,0.710059171597633,0.179881656804734,0.0781065088757396,0.0319526627218935,0
EPHA2,0.515193370165746,0.0718232044198895,0,0.0220994475138122,0.390883977900552
EPHA3,0.555269922879177,0.290488431876607,0.0473007712082262,0.106426735218509,0.00051413881748072
EPHA4,0.645927601809955,0.0271493212669683,0,0.00565610859728507,0.321266968325792
