siRNA,hsa,medoids_1,medoids_2,medoids_3,medoids_4,medoids_5
AAK1,hsa22848,3.828751566088,-5.43361910332838,2.25930148037453,-5.5816776056781,-7.87886533973225
AATK,hsa9625,4.61911949644391,-4.2691969101565,-6.15315011250421,-2.24733693273328,-6.49241996229274
ABL1,hsa25,4.88854821033079,-4.35171280648223,-0.975473294013853,-6.297554997142,-10.3439809121983
ABL2,hsa27,3.84794230459442,-3.86897725640301,0.1144177218787,-4.81159355213392,-9.29736596195331
ACVR1,hsa90,3.84794230459442,1.85994341632937,2.43032038181689,-3.14753638927037,5.61101281207573
ACVR1B,hsa91,3.828751566088,-2.1244390511051,0.685580340604455,-3.08559186138277,-1.2420846946471
ACVR1C,hsa130399,4.88854821033079,3.54818354200647,-0.39973859636628,-8.23895502048282,-10.5605219363869
ACVR2,,3.828751566088,-8.55934466491202,0.891034520002206,-3.08559186138277,-4.15059379283266
ACVR2B,hsa93,4.88854821033079,-3.02326539755024,1.10291275965718,-6.297554997142,-10.0182727257117
ACVRL1,hsa94,2.76775951750422,-4.88121906886182,1.84098519623734,-0.985731994708275,0.097286547099232
ADCK1,hsa57143,1.60754890861832,-4.75598217656603,-1.15621509746715,-3.05063279381961,-3.77915644595841
ADCK2,hsa90956,1.1930392399277,1.84764211036648,-0.834491214855275,-3.44950729575801,-17.2664567284308
ADCK4,,3.84794230459442,0.349375816357886,0.600331324758579,-1.48347922640681,-5.8394344514631
ADCK5,hsa203054,1.60754890861832,1.32383588224372,-0.124314247139827,1.10951011333928,-19.9179634619867
ADK,,4.61911949644391,-2.7725575253095,3.39902236907312,-3.63405123511957,-7.94095836633706
ADPGK,,1.1930392399277,-7.22627402490929,-1.98144640564534,-2.34013585384897,-10.6054665278463
ADRBK1,,3.84794230459442,-2.82302682246646,-1.6007484923838,-4.81159355213392,1.77559156583643
ADRBK2,,4.54445171346748,-3.04126673776995,0.495694379307551,-7.80517691955336,-2.92218301379167
AK1,,-21.0885007398882,-2.21517142391603,-1.48013820791481,-14.7277656542099,-46.2395785161019
AK3,,4.61911949644391,-1.70069358861193,-1.45733568772249,-3.07936551416506,-5.34089693821727
AK3L1,,4.61911949644391,-8.38801591449839,2.50428388640008,-8.9035655841875,-7.59978296383699
AK5,,4.61911949644391,-8.67926776757208,-5.84039676448576,-1.13796549082424,-10.4354392329736
AK7,,4.61911949644391,-10.3020335777816,2.62419967786829,-5.02076553750587,-4.25595019176501
AKT1,hsa207,4.54445171346748,-4.79575366815679,4.94253306330921,-2.53566257048544,-7.68339559533011
AKT2,hsa208,4.88854821033079,-7.9445368631818,2.34686547288968,-0.196012066642303,-4.88741609770633
AKT3,hsa10000,2.76775951750422,-6.80153368990724,1.39789866173898,-4.8685320413899,-25.9284339398017
ALDH18A1,,1.60754890861832,-6.98840586022449,0.972058703426664,-7.48811856145576,5.57783675453959
ALK,hsa238,-21.8596779317377,-3.13363772412494,-1.42203229351612,-14.7959365293153,-46.9826773724013
ALPK1,hsa80216,4.88854821033079,-6.83287802612856,1.81858779696216,-2.96944067141489,0.260925209270758
ALPK2,hsa115701,3.84794230459442,0.227650238799359,0.504259792983854,-2.03816494736133,-3.12482595982325
ALPK3,hsa57538,4.88854821033079,-9.78011175523454,2.59352623700045,-4.63349783427845,-4.86298237965607
